排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
723,数字媒体技术,本科,计算机类,开设院校,12736,INTP/INTJ,研究型
724,风景园林,本科,建筑类,开设院校,12723,INTP/ISTJ,现实型
725,劳动与社会保障,本科,公共管理类,开设院校,12593,ENTJ/ISFJ,管理型
726,公共卫生管理,专科（高职）,公共卫生与卫生管理类,开设院校,12520,ISFJ/ISFP,管理型
727,动物医学,本科,动物医学类,开设院校,12501,ESFJ/INTJ,研究型
728,数字媒体艺术,本科,设计学类,开设院校,12459,ISFJ/ISFP,社会型
729,学前教育,专科（高职）,教育类,开设院校,12320,ENFP/ENFJ,社会型
730,测绘工程,本科,测绘类,开设院校,12309,ISTJ/INTJ,研究型
731,信息资源管理,本科,图书情报与档案管理类,开设院校,12224,INFP,管理型
732,影视多媒体技术,专科（高职）,广播影视类,开设院校,12102,INFJ/ISFP/ESFP,艺术型
733,水利水电工程管理,专科（高职）,水利工程与管理类,开设院校,12025,ISTJ/ISTP/ESFJ,研究型、管理型
734,交通运营管理,专科（高职）,道路运输类,开设院校,11961,ISTJ/ISTP/INTP,
735,眼视光学,本科,医学技术类,开设院校,11897,ESFJ/ISFJ,研究型
736,金融学,本科,金融学类,开设院校,11845,ISTJ/INTP,研究型
737,康复治疗学,本科,医学技术类,开设院校,11835,ESFJ/ISFJ,研究型
738,机械设计与制造,专科（高职）,机械设计制造类,开设院校,11757,ISTP,
739,美术学,本科,美术学类,开设院校,11667,INTJ/INFP,艺术型
740,档案学,本科,图书情报与档案管理类,开设院校,11623,INFP,管理型
741,音乐表演,本科,音乐与舞蹈学类,开设院校,11538,ESFP/ESTP,艺术型
742,酒店管理,专科（高职）,旅游类,开设院校,11441,ESFP/ISFP/ISFJ,管理型
743,智能科学与技术,本科,计算机类,开设院校,11429,INTP/INTJ,研究型
744,道路桥梁与渡河工程,本科,土木类,开设院校,11417,ISTJ/INTP,研究型
745,法学,本科,法学类,开设院校,11397,INTJ,研究型
746,统计学,本科,统计学类,开设院校,11308,INTJ,研究型
747,工业工程,本科,工业工程类,开设院校,11268,ISTJ/INTP,研究型
748,老年服务与管理,专科（高职）,公共服务类,开设院校,11257,ESFJ,管理型
749,家具设计与制造,专科（高职）,轻化工类,开设院校,11189,ISTP,
750,机械制造与自动化,专科（高职）,机械设计制造类,开设院校,11018,ISTP,
751,艺术教育,本科,教育学类,开设院校,10973,ENFP/ENFJ,社会型
752,公共关系学,本科,公共管理类,开设院校,10947,ENTJ/ISFJ,管理型
753,汽车服务工程,本科,机械类,开设院校,10892,ISTP,
754,食品科学与工程,本科,食品科学与工程类,开设院校,10849,ESFJ/ESTP,研究型
755,知识产权,本科,法学类,开设院校,10845,INTJ,研究型
